id	humorbot
2391736411	human
755095269730095104	human
121158213	human
39394073	human
121370906	human
836888284462735360	bot
2801334731	bot
21328656	human
826120750667014144	human
720740855557058565	human
1469603575	human
716737614771044352	human
15977038	human
728433956169752576	human
1154825658	human
2796938558	bot
2383717754	human
201650805	human
2806294664	human
1935354607	human
816674790819897344	human
445923217	human
45202420	human
919381	human
3248139409	human
975116011	human
16722610	human
2926129144	human
2177093070	human
2696641002	human
839925441347452928	bot
75639425	human
733268313409761280	human
1630747790	human
22709198	human
15281391	human
603376827	human
43921687	human
2751257820	human
1924167116	human
794350398614241281	human
53584956	human
700784500658208768	human
360327469	human
796004241752072192	human
783298101608079361	bot
349249475	human
18719020	human
383927121	human
750789806553075712	human
118794845	bot
14216123	human
3490311803	human
16049299	human
2275141800	human
391053025	human
100024370	human
299891017	human
273984441	human
854407520173031428	bot
827890482445422592	bot
838375378033000449	bot
835302170379632641	bot
837292224551534592	bot
837297073041047552	bot
853655288792088576	bot
856074855367806976	bot
834826815524970496	bot
837366295897198594	bot
854355869789818881	bot
849887285109764096	bot
834443444646969344	bot
835210320989782017	bot
849377947584802819	bot
837362359626842116	bot
836879821632327680	bot
837291372147314690	bot
849633019463954434	bot
854636078665539584	bot
854974927908343808	bot
854289328859746304	bot
837307134262063106	bot
835369529991639040	bot
837366972790816768	bot
849523999315042306	bot
856116099980689408	bot
849261103339229185	bot
835545353034297346	bot
849351548505391104	bot
838327168774078464	bot
834519456273616896	bot
849651934462083072	bot
854566798724915200	bot
834458370715299840	bot
854738146906566660	bot
837395468934131712	bot
849202328498556928	bot
849631220325601280	bot
849177005207760896	bot
849529587734392832	bot
837296107520667648	bot
827852331639308288	bot
835429616735113217	bot
854744961761280001	bot
838402293401796608	bot
849146063512535040	bot
837333412994244608	bot
849671226691911683	bot
854470281355812864	bot
849273789611462657	bot
837413179844149248	bot
849298057229459461	bot
849199447678570496	bot
838337810709024768	bot
835096518675791873	bot
849669612388196352	bot
854764482496778240	bot
854248294318559232	bot
835400306909458433	bot
838379898922225665	bot
837350872766103552	bot
837407639227236352	bot
837363524670218240	bot
837300223202508800	bot
835784620390113281	bot
849881748016177152	bot
849273244704288771	bot
849461432769024000	bot
849158527893590017	bot
853989268636798977	bot
837308043784257536	bot
837362708706119680	bot
856120817230401536	bot
827806365540311041	bot
837292359897460736	bot
849652533056425985	bot
854949326501621760	bot
854284247934287872	bot
837301960164458501	bot
849323476125200386	bot
853993810950590464	bot
834498051867869185	bot
849175710023524352	bot
849316192716238848	bot
849724765648461824	bot
854557539790454785	bot
838369386809393152	bot
849887102481444864	bot
827831618135957504	bot
837262944362762241	bot
838365560945668096	bot
1066149218	bot
828823109750943744	bot
834545092803297283	bot
834892462774702080	bot
849358733092237312	bot
